BATTER_ID,BATTER_NAME
118162,Rick Mahler
424725,Carl Sadler
595918,A. J. Cole
571918,Deven Marrero
663362,Matt Waldron
111614,Lou Bruce
133222,Eddie Priest
118668,Guy Mcfadden
594824,Greg Garcia
117936,Patrick O'Loughlin
123884,Joe Walsh
110685,Kevin Batiste
820382,John Britton
817266,George Sias
119431,Ross Moschitto
455007,Ben Fritz
113550,Jake Drauby
118365,Edgar Martínez
820233,Luis Cabrera
121117,Armando Reynoso
121457,Rosie Rosebraugh
692225,Kristian Campbell
593958,Eduardo Rodríguez
123221,Ron Theobald
276537,Chris Richard
123105,Stu Tate
457821,Wes Bankston
124559,Clarence Woods
122993,Pete Susko
114952,Billy Goodman
621051,Steven Wilson
115988,Don Hoak
818128,Jim Missouri
111738,Hercules Burnett
112615,Ed Conwell
114144,Daniel Firova
111607,Pidge Browne
817799,José Pereira
121489,Braggo Roth
110442,Fred Bailey
818007,Bill Myers
425817,Jesse Foppert
657117,Austen Williams
114944,Wilbur Good
430631,Reggie Abercrombie
118110,Mike Madden
430838,Willy Taveras
592351,Jon Gray
121806,Dutch Schesler
819891,Porter Dallas
622210,Ian Parmley
695034,Kade Morris
116747,Brian Jordan
623507,Josh Lester
120573,Sandy Piez
123352,Ron Tingley
115796,Chuck Hensley
119061,Charlie Miller
592135,Cam Bedrosian
451532,Chad Billingsley
492653,George Huff
122585,Ben Spencer
119062,Chuck Miller
118599,Mike Mccormick
122783,Sammy Stewart
816429,Maurice Young
114301,Gene Ford
124687,Charlie Young
122714,Morrie Steevens
502161,Scott Cousins
817601,Ulysses Redd
817377,Raúl Sánchez
150067,Chris Truby
111142,George Boehler
819025,Robert Higbee
118054,Terry Lyons
117420,Tim Laker
817326,Joe Scott
668939,Adley Rutschman
111942,Cardell Camper
519023,Devin Mesoraco
572204,Trayce Thompson
111199,Bobby Bonilla
118227,Carl Manda
113267,Brian Denman
119973,Charley O'Leary
120311,Gil Paulsen
594940,Daniel Muno
818818,Wendell Jenkins
820366,Sidney Brooks
121955,Rudy Seánez
115533,Ned Harris
816770,Edsall Walker
820154,Bill Carter
112207,Harry Chappas
115478,Spec Harkness
400067,Carlos Silva
123275,Bobby Thompson
818532,Lee
605280,Clay Holmes
113746,Paul Edmondson
123386,George Tomer
820591,Fred Barnes
118468,Carlos May
124258,Spider Wilhelm
121482,Joe Rosselli
118201,Jule Mallonee
407885,Mark Ellis
124754,Rollie Zeider
527049,César Puello
819144,Wilmer Harris
123373,Jackson Todd
820563,Rufus Battle
123547,Frenchy Uhalt
113710,Paul Easterling
118889,Johnny Meador
700932,Kyle Manzardo
819305,Bob Graves
427108,Dana Demuth
115145,Pat Griffin
118193,Tony Malinosky
111565,Keith Brown
116791,George Jumonville
120392,Henry Peploski
682010,Lane Ramsey
110375,Rich Aude
819009,Pete Hill
123136,Fred Taylor
592450,Aaron Judge
117011,Orie Kerlin
114911,Leo Gómez
114788,Brian Giles
123532,George Twombly
819016,Lee Hill
122994,Butch Sutcliffe
117412,Jeff Lahti
123145,Jack Taylor
493547,Mickey Storey
816669,Edgar Wesley
137204,Jack Snyder
400090,Alex Cintrón
117852,Ron Locke
115461,Alex Hardy
607755,Andrew Vasquez
122784,Shannon Stewart
116333,Herb Hunter
124166,Ed White
119825,Dickie Noles
134002,Ramón Martínez
121700,Nelson Santovenia
110343,Harry Arundel
122127,John Sheppard
119968,Dave Oldfield
117875,Mickey Lolich
119276,Eric Moody
117776,Vive Lindaman
456501,Johnny Cueto
111078,Homer Blankenship
150150,Jason Boyd
424825,Coco Crisp
121853,Dick Schofield
124685,Anthony Young
111232,Pat Borders
476011,Matt Maloney
114074,Sid Fernandez
820584,Vet Barnes
111122,Jim Bluejacket
276529,Kevin Joseph
489265,Sergio Romo
111483,Tilson Brito
501317,Francisco Peguero
111986,Rod Carew
114084,Bill Ferrazzi
816851,Faustino Valdés
425663,Derek Thompson
116891,Willie Keeler
122329,Heathcliff Slocumb
111899,Jack Calvo
112111,Carlos Castillo
594151,Ramon De Jesus
816916,Tomm
110552,Turner Barber
113423,Cozy Dolan
123615,Bob Valentine
123568,Tim Unroe
607732,Jacob Stallings
680814,Peyton Burdick
115728,Hellings
475115,Tyson Ross
123043,Bill Sweeney
112523,Jackie Collum
117038,Joe Kiefer
123028,Bud Swartz
656271,Brock Burke
641386,Ben Bowden
663457,Lars Nootbaar
572831,Josh Edgin
121829,Dave Schmidt
680723,Drew Rom
817217,Smith
518934,Dj Lemahieu
117200,Punch Knoll
120681,Jay Porter
122610,Homer Spragins
818756,Jack Johnson
622682,Víctor Reyes
124500,Steve Wojciechowski
547748,Rick Adair
452737,Chris Schwinden
276514,Kevin Gregg
123962,Claudell Washington
458657,Adalberto Méndez
489149,Logan Morrison
113062,Doug Dascenzo
120013,Oran O'Neal
656388,Joe Dunand
123345,Rusty Tillman
695445,Chase Lee
119565,Mike Murphy
116554,Tommy Johns
118115,Clarence Maddern
818700,Jones
118104,Harry Macpherson
111050,Tim Blackwell
117405,Ed Lafitte
118917,Walt Meinert
112926,Nick Cullop
817134,Charlie Spearman
110174,Milo Allison
114436,Bob Friedrichs
124060,Tub Welch
121004,Icicle Reeder
275928,Luis Matos
113244,Ramón De Los Santos
120147,Andy Oyler
467798,José Tábata
642545,Jaime Barría
113982,Rags Faircloth
124533,Jake Wood
118255,Lou Manske
118095,Gordon Mackenzie
118347,Morrie Martin
122142,Fred Sherry
818740,Mex Johnson
819553,Tom Fiall
121104,Charlie Reynolds
819826,Connie Day
430640,Tony Peña
113389,Glenn Dishman
114956,Clyde Goodwin
123797,Charlie Waitt
118674,Ed Mcfarland
656577,Alex Jackson
818460,James Lockman
110485,Phil Baker
117646,John Leighton
118724,Tug Mcgraw
119478,Ray Mueller
488846,Brian Duensing
